id,session_id,user_message,bot_response,created_at
1,session_1775077421846_rekvzl,ing de software,"✅ Cambiado a: Grado en Ingeniería Informática - Ingeniería del Software

Ahora las consultas de asignaturas serán de esta titulación.",2026-04-01 21:03:54.321294+00
2,session_1775077421846_rekvzl,el profesorado de algebra?,"El profesorado de Álgebra Lineal y Numérica es:

*   **ANDRES ARMARIO SAMPALO**
*   Suplente 2: **MARIA TERESA GONZALEZ MONTESINO**
*   Suplente 3: **VICTOR ALVAREZ SOLANO**
*   **CAÑETE MARTIN, ANTONIO JESUS**
*   **DANA JIMENEZ, JUAN CARLOS** (Coordinador de la asignatura)",2026-04-01 21:05:19.626161+00
3,session_1775077421846_rekvzl,dame el correo de ANDRES ARMARIO SAMPALO,"El correo electrónico de Jose Andres Armario Sampalo es:

**armario@us.es**",2026-04-01 21:05:46.347106+00
4,session_1775127218679_14c5z3,hola,"¡Hola! Soy **Linceus**, el asistente virtual de la ETSII (Universidad de Sevilla). ¿En qué puedo ayudarte hoy?

Antes de empezar, por favor indícame tu titulación:

• **Ingeniería del Software** (GII-IS)
• **Tecnologías Informáticas** (GII-TI)
• **Ingeniería de Computadores** (GII-IC)",2026-04-02 10:53:45.788605+00
5,session_1775128004168_b1cf2t,hola,"¡Hola! Soy **Linceus**, el asistente virtual de la ETSII (Universidad de Sevilla). ¿En qué puedo ayudarte hoy?

Antes de empezar, por favor indícame tu titulación:

• **Ingeniería del Software** (GII-IS)
• **Tecnologías Informáticas** (GII-TI)
• **Ingeniería de Computadores** (GII-IC)",2026-04-02 11:07:01.056089+00
6,session_1775128192251_djztpq,hola,"¡Hola! Soy **Linceus**, el asistente virtual de la ETSII (Universidad de Sevilla). ¿En qué puedo ayudarte hoy?

Antes de empezar, por favor indícame tu titulación:

• **Ingeniería del Software** (GII-IS)
• **Tecnologías Informáticas** (GII-TI)
• **Ingeniería de Computadores** (GII-IC)",2026-04-02 11:09:56.254775+00
7,session_1775128222239_527kep,Ing de software,"✅ Cambiado a: Grado en Ingeniería Informática - Ingeniería del Software

Ahora las consultas de asignaturas serán de esta titulación.",2026-04-02 11:10:33.639517+00
8,session_1775128222239_527kep,Cuantos creditos tiene algebra,Álgebra tiene 6 créditos ECTS.,2026-04-02 11:10:46.372704+00
9,session_1775129150128_rnh33p,hola,"¡Hola! Soy **Linceus**, el asistente virtual de la ETSII (Universidad de Sevilla). ¿En qué puedo ayudarte hoy?

Antes de empezar, por favor indícame tu titulación:

• **Ingeniería del Software** (GII-IS)
• **Tecnologías Informáticas** (GII-TI)
• **Ingeniería de Computadores** (GII-IC)",2026-04-02 11:25:55.014562+00
10,session_1775129332324_qu5v12,Hola,"¡Hola! Soy **Linceus**, el asistente virtual de la ETSII (Universidad de Sevilla). ¿En qué puedo ayudarte hoy?

Antes de empezar, por favor indícame tu titulación:

• **Ingeniería del Software** (GII-IS)
• **Tecnologías Informáticas** (GII-TI)
• **Ingeniería de Computadores** (GII-IC)",2026-04-02 11:29:54.485948+00
11,session_1775129405716_a083pi,"Que pasa aquí ","No estoy seguro de entender tu pregunta. Puedo ayudarte con informacion sobre **asignaturas** de la ETSII.

Prueba preguntando cosas como:
- ""Cuantos creditos tiene Redes?""
- ""Dame las optativas de cuarto""
- ""Que asignaturas hay en primero?""

Tambien te pueden ser utiles estos enlaces:
- [SEVIUS - Portal del Estudiante](https://sevius.us.es)
- [Universidad de Sevilla](https://www.us.es)",2026-04-02 11:30:35.260338+00
12,session_1775129452161_1q2acp,Hola,"¡Hola! Soy **Linceus**, el asistente virtual de la ETSII (Universidad de Sevilla). ¿En qué puedo ayudarte hoy?

Antes de empezar, por favor indícame tu titulación:

• **Ingeniería del Software** (GII-IS)
• **Tecnologías Informáticas** (GII-TI)
• **Ingeniería de Computadores** (GII-IC)",2026-04-02 11:31:00.05713+00
13,session_1775129405716_a083pi,Soy de IS,"✅ Cambiado a: Grado en Ingeniería Informática - Ingeniería del Software

Ahora las consultas de asignaturas serán de esta titulación.",2026-04-02 11:31:02.400051+00
14,session_1775129405716_a083pi,"Me queda solo el tfg y las prácticas ",No he encontrado información detallada del plan docente de **Trabajo Fin de Grado** en la titulación **GII-IS**. ¿Estás seguro de que esta asignatura pertenece a esa titulación?,2026-04-02 11:31:17.874201+00
